Based on edl_traj_161024_DAC1_LaRC_MC_v2 Nominal Atmosphere								
Altitude referenced to 1 bar at equator: 60268 km								
								
"Altitude, km"		"Temp, deg K"		"Pressure, bars"		"Pressure, hPa"		"Density, kg/m3"
1500.06		406.650		7.9430E-10		7.94E-07		5.330750E-11
1493.54		406.650		7.9430E-10		7.94E-07		5.330750E-11
1487.03		406.650		7.9430E-10		7.94E-07		5.330750E-11
1480.53		406.650		7.9430E-10		7.94E-07		5.330750E-11
1474.04		406.650		7.9430E-10		7.94E-07		5.330750E-11
1467.56		406.650		7.9430E-10		7.94E-07		5.330750E-11
1461.09		406.650		7.9430E-10		7.94E-07		5.330750E-11
1454.64		406.650		7.9430E-10		7.94E-07		5.330750E-11
1448.19		406.650		7.9430E-10		7.94E-07		5.330750E-11
1441.75		406.650		7.9430E-10		7.94E-07		5.330750E-11
1435.33		406.650		7.9430E-10		7.94E-07		5.330750E-11
1428.91		406.650		7.9430E-10		7.94E-07		5.330750E-11
1422.51		406.650		7.9430E-10		7.94E-07		5.330750E-11
1416.11		406.650		7.9430E-10		7.94E-07		5.330750E-11
1409.73		406.650		7.9430E-10		7.94E-07		5.330750E-11
1403.35		406.650		7.9430E-10		7.94E-07		5.330750E-11
1396.99		406.650		7.9430E-10		7.94E-07		5.330750E-11
1390.64		406.650		7.9430E-10		7.94E-07		5.330750E-11
1384.30		406.650		7.9430E-10		7.94E-07		5.330750E-11
1377.96		406.650		7.9430E-10		7.94E-07		5.330750E-11
1371.64		406.650		7.9430E-10		7.94E-07		5.330750E-11
1365.33		406.650		7.9430E-10		7.94E-07		5.330750E-11
1359.03		406.650		7.9430E-10		7.94E-07		5.330750E-11
1352.74		406.650		7.9430E-10		7.94E-07		5.330750E-11
1346.47		406.650		7.9430E-10		7.94E-07		5.330750E-11
1340.20		406.650		7.9430E-10		7.94E-07		5.330750E-11
1333.94		406.530		8.0030E-10		8.00E-07		5.372560E-11
1327.69		405.920		8.3070E-10		8.31E-07		5.584960E-11
1321.46		405.310		8.6220E-10		8.62E-07		5.805380E-11
1315.23		404.710		8.9480E-10		8.95E-07		6.034220E-11
1309.02		404.090		9.2880E-10		9.29E-07		6.272850E-11
1302.81		403.480		9.6400E-10		9.64E-07		6.520490E-11
1296.62		402.860		1.0000E-09		1.00E-06		6.777640E-11
1290.44		401.480		1.0390E-09		1.04E-06		7.060070E-11
1284.26		400.100		1.0780E-09		1.08E-06		7.353750E-11
1278.10		398.730		1.1190E-09		1.12E-06		7.659110E-11
1271.95		397.340		1.1620E-09		1.16E-06		7.980610E-11
1265.81		395.950		1.2060E-09		1.21E-06		8.315320E-11
1259.68		394.570		1.2530E-09		1.25E-06		8.663470E-11
1253.56		392.240		1.3010E-09		1.30E-06		9.053000E-11
