Provided by Dr. Julie Moses of SSI in July 2023, her file designation pzuran15lat3n.out.
Atmosphere measured from 1-bar level at equator. 
   N    ALT(KM)      T(K)      DEN(CM-3)  PRESS(MBAR)  G(CM S-2)     H(KM)     K(CM2 S-1)  BMASS(AMU)
   1  -7.903E+01   1.479E+02   2.753E+20   5.620E+03   8.723E+02   6.066E+01   7.800E+02   2.324E+00
   2  -7.087E+01   1.412E+02   2.512E+20   4.899E+03   8.718E+02   5.798E+01   8.225E+02   2.324E+00
   3  -6.307E+01   1.348E+02   2.294E+20   4.270E+03   8.712E+02   5.538E+01   8.670E+02   2.324E+00
   4  -5.563E+01   1.286E+02   2.096E+20   3.722E+03   8.707E+02   5.286E+01   9.135E+02   2.324E+00
   5  -4.852E+01   1.227E+02   1.916E+20   3.245E+03   8.702E+02   5.045E+01   9.625E+02   2.324E+00
   6  -4.174E+01   1.169E+02   1.752E+20   2.828E+03   8.697E+02   4.812E+01   1.014E+03   2.324E+00
   7  -3.527E+01   1.114E+02   1.603E+20   2.465E+03   8.692E+02   4.587E+01   1.067E+03   2.324E+00
   8  -2.911E+01   1.061E+02   1.467E+20   2.149E+03   8.688E+02   4.370E+01   1.124E+03   2.324E+00
   9  -2.324E+01   1.008E+02   1.346E+20   1.873E+03   8.684E+02   4.156E+01   1.181E+03   2.324E+00
  10  -1.767E+01   9.555E+01   1.238E+20   1.633E+03   8.680E+02   3.940E+01   1.240E+03   2.324E+00
  11  -1.238E+01   9.062E+01   1.138E+20   1.423E+03   8.676E+02   3.738E+01   1.302E+03   2.324E+00
  12  -7.372E+00   8.589E+01   1.046E+20   1.241E+03   8.672E+02   3.544E+01   1.367E+03   2.324E+00
  13  -2.613E+00   8.173E+01   9.584E+19   1.081E+03   8.669E+02   3.374E+01   1.438E+03   2.324E+00
  14   1.919E+00   7.772E+01   8.785E+19   9.427E+02   8.666E+02   3.210E+01   1.513E+03   2.324E+00
  15   6.227E+00   7.388E+01   8.056E+19   8.217E+02   8.663E+02   3.052E+01   1.591E+03   2.324E+00
  16   1.033E+01   7.070E+01   7.338E+19   7.163E+02   8.660E+02   2.922E+01   1.679E+03   2.324E+00
  17   1.427E+01   6.777E+01   6.673E+19   6.244E+02   8.657E+02   2.802E+01   1.774E+03   2.324E+00
  18   1.805E+01   6.531E+01   6.036E+19   5.442E+02   8.654E+02   2.701E+01   1.881E+03   2.324E+00
  19   2.170E+01   6.306E+01   5.449E+19   4.744E+02   8.652E+02   2.609E+01   1.996E+03   2.324E+00
  20   2.523E+01   6.111E+01   4.901E+19   4.135E+02   8.649E+02   2.529E+01   2.122E+03   2.324E+00
  21   2.867E+01   5.950E+01   4.388E+19   3.605E+02   8.647E+02   2.463E+01   2.263E+03   2.324E+00
  22   3.201E+01   5.802E+01   3.922E+19   3.142E+02   8.644E+02   2.402E+01   2.415E+03   2.324E+00
  23   3.528E+01   5.686E+01   3.489E+19   2.739E+02   8.642E+02   2.355E+01   2.585E+03   2.324E+00
  24   3.848E+01   5.579E+01   3.099E+19   2.388E+02   8.640E+02   2.311E+01   2.768E+03   2.324E+00
  25   4.163E+01   5.489E+01   2.746E+19   2.081E+02   8.637E+02   2.274E+01   2.970E+03   2.324E+00
  26   4.474E+01   5.416E+01   2.426E+19   1.814E+02   8.635E+02   2.245E+01   3.191E+03   2.324E+00
  27   4.780E+01   5.352E+01   2.140E+19   1.581E+02   8.633E+02   2.219E+01   3.432E+03   2.324E+00
  28   5.084E+01   5.302E+01   1.883E+19   1.378E+02   8.631E+02   2.198E+01   3.696E+03   2.324E+00
  29   5.385E+01   5.262E+01   1.654E+19   1.202E+02   8.629E+02   2.182E+01   3.985E+03   2.324E+00
  30   5.684E+01   5.245E+01   1.446E+19   1.047E+02   8.627E+02   2.176E+01   4.307E+03   2.324E+00
  31   5.982E+01   5.238E+01   1.262E+19   9.129E+01   8.625E+02   2.174E+01   4.661E+03   2.324E+00
  32   6.281E+01   5.237E+01   1.101E+19   7.958E+01   8.622E+02   2.174E+01   5.047E+03   2.324E+00
  33   6.579E+01   5.232E+01   9.602E+18   6.937E+01   8.620E+02   2.172E+01   5.462E+03   2.324E+00
